,input,output
335,눈이 오면 길 조심하니?,눈이 오면 길 조심하니?
336,마당에는 개가 누워 있는다.,마당에는 개가 누워 있는다.
337,순희는 빨리 과연 달린다.,과연 순희가 빨리 달린다.
338,부엌이 솥에 끓는 국으로 넘치고 있었다.,부엌에서는 솥에 끓는 국이 넘치고 있었다.
339,나는 선생님이기 때문에 학생을 가르친다.,나는 선생님이니까 학생을 가르친다.
340,안녕히 오십시오.,안녕히 가십시오.
341,"내가 새거든, 참 행복할 텐데.",내가 새라면 참 행복할 텐데.
342,나는 철수가 학교에 갔음을 요구한다.,나는 철수가 학교에 갔음을 요구한다.
343,선생님께 언제 다시 오시겠습니까고 여쭤 보아라.,"선생님께 ""언제 다시 오시겠습니까?""라고 여쭤 보아라."
344,아버지가 아들을 집에서 놀게 말을 했다.,아버지가 아들을 집에서 놀게 했다.
345,빵이 좋고 밥이 좋고 다 좋아.,빵이 좋고 밥이 좋고 다 좋아.
346,4시에 일어날 결심을 하고 자면 그때 깨겠다.,4시에 일어날 결심을 하고 자면 그때 깰 것이다.
347,순희가 물에 빠지는 뻔했다.,순희가 물에 빠질 뻔했다.
348,"그가 가겠다면, 나도 갔다.","그가 가겠다면, 나도 가겠다."
349,자기 자신이 철수를 학대하고 있다.,철수가 자기 자신을 학대하고 있다.
350,영이가 먹지 않을까 의아스럽다.,영이가 먹지 않을까 의심스럽다.
351,"해가 서쪽에서 뜨거든, 나를 찾아 와라.","해가 서쪽에서 뜨면, 나를 찾아 와라."
352,꽃은 일찍 핀다.,꽃은 일찍 핀다.
353,어제 문병 갔었는데 그 사람 죽을 것이다.,어제 문병 갔었는데 그 사람 죽겠더라.
354,"철수는 학교에 갔으며, 친구들을 만나라.","철수는 학교에 갔으며, 친구들을 만났다."
355,일기예보에 의하면 비가 오겠다.,일기예보에 의하면 비가 올 것이다.
356,철수는 사람을 때리기조차 때린다.,철수는 사람을 때리기조차 한다.
357,그가 서울로 가 있다.,그가 서울에 가 있다.
358,종달새가 아래에 떨어졌다.,종달새가 아래로 떨어졌다.
359,학교에 다님이 시작되었다.,학교에 다니기가 시작되었다.
360,이 음식의 맛을 약간 보내었다.,이 음식의 맛을 약간 가게 했다.
361,자네 마음 내키는 대로 생각하게요.,자네 마음 내키는 대로 생각하게나.
362,이곳을 낙원이라고 우리는 믿는다.,이곳을 낙원이라고 우리는 믿는다.
363,영희가 보리밥이 철수의 입에 맞는가 보다.,영희가 보리밥이 영희의 입에 맞는가 보다.
364,별 들을 만한 강의가 다 있다.,별 들을 만한 강의가 없다.
365,"비가 왔습니다, 그렇습니까?","비가 왔습니까, 그렇습니까?"
366,교향악단이 음악을 멈추라.,교향악단은 음악을 멈추라.
367,소문이 퍼져 들어간다.,소문이 퍼져 나간다.
368,그는 이 문에서 지났다.,그는 이 문을 지났다.
369,내일 나는 부산에 출장 갔다.,내일 나는 부산에 출장 간다.
370,나는 기쁘더냐?,너는 기쁘더냐?
371,철수에게 악몽이 시달렸다.,철수가 악몽으로 시달렸다.
372,요새 애들은 버릇이 없어서 영 틀렸단 말이지.,요새 애들은 버릇이 없어서 영 틀렸단 말이야.
373,그가 이 점에 옳다.,그가 이 점에서 옳다.
374,하느님도 그것도 알지 못한다.,하느님도 그것은 알지 못한다.
375,하늘이 별들을 반짝인다.,하늘에 별들이 반짝인다.
376,6시간에 철수가 공부한다.,6시간을 철수가 공부한다.
377,어제 우리 아버님이 돌아가셨더라.,어제 우리 아버님이 돌아가셨어.
378,너는 요새 밥이 너무 먹히더라.,너는 요새 밥이 너무 먹히더라.
379,그는 열심히 공부하듯 보였다.,그는 열심히 공부한 듯 보였다.
380,너는 잠을 잘 것이다.,너는 잠을 잘 것이다.
381,그가 왔어도 나를 만날 수 있다.,그가 와도 나를 만날 수 있다.
382,"어미는 이웃에 아들 자랑을 갔고, 아비는 이곳에 그것을 왔군.","어미는 이웃에 아들 자랑을 하러 나갔고, 아비는 이곳에 그리하러 왔군."
383,철수가 집에 갔을까 싶겠다.,철수가 집에 갔을까 싶었다.
384,영이는 여전히는 예쁜데!,영이는 여전히 예쁜데!
385,열차가 퍽 많이 탈선했다.,열차가 퍽 지나다닌다.
386,영이가 먹었지 않았다.,영이가 먹지 않겠다.
387,뚱뚱한 사람이 병에 고생한다.,뚱뚱한 사람이 병으로 고생한다.
388,나는 그가 키가 크더라고 주장한다.,나는 그가 키가 크다고 주장한다.
389,늦기 전에 빨리 김치를 담궈 버리자.,늦기 전에 빨리 김치를 담궈 버리자.
390,시청이 바로 가까이 있다.,시청이 바로 가까이 있다.
391,지금부터 30분 후에 그 사람이 오겠더라.,지금부터 30분 후에 그 사람이 오겠더라.
392,철수는 영희를 만나러 지하철을 탄다.,철수는 영희를 만나려고 지하철을 탄다.
393,막내는 못 학교에 갔다.,막내는 학교에 못 갔다.
394,할머니께서 노인이시다.,할머니께서는 노인이시다.
395,자기는 학교에 갔다.,철수는 학교에 갔다.
396,"아마 철수가 오면, 혹시 순이도 같이 올 거야.","아마 철수가 오면, 혹시 순이도 같이 올 거야."
397,영희는 집에 갔기에 쉽다.,그 때 영희는 집에 갔기 쉬웠다.
398,뱃속에서 어떤 소리가 난다.,뱃속에서 무슨 소리가 난다.
399,나는 진리를 안 터득했다,나는 진리를 못 터득했다
400,그런 나쁜 사람을 집에 놓으면 안 됩니다.,그런 나쁜 사람을 집에 두면 안 됩니다.
401,경찰관이 범인을 그 집으로 체포했나 봐.,경찰관이 범인을 그 집으로 체포했나 봐.
402,너는 이제 그곳에 다 간다.,너는 이제 그곳에 다 갔다.
403,영희가 무슨 일을 할 수 있겠는지가 그의 대답이었다.,영희가 무슨 일을 할 수 있겠느냐가 그의 대답이었다.
404,고생하기를 많게 한다.,고생함을 많게 한다.
405,그들은 아들이 돌아오게 꼬박 기다렸다.,그들은 아들이 돌아오도록 꼬박 기다렸다.
406,"건설이 어렵되, 파괴는 쉽다.","건설은 어렵되, 파괴는 쉽다."
407,아버지는 진지를 드신다.,아버지께서 진지를 드신다.
408,자기의 성적이 철수의 어머니를 실망시켰다.,자기의 성적이 철수를 실망시켰다.
409,그가 시험공부하느라고 내가 잠을 못잤다.,그가 시험공부하느라고 잠을 못잤다.
410,2시까지 그리 올게.,2시까지 그리 갈게.
411,나는 동진이 시에 대해 현실을 잘 비쳐 주고 있게 생각해.,나는 동진이 시에 대해 현실을 잘 비쳐주고 있다고 생각해.
412,순이가 돌이를 귀하게 선물을 준다.,순이가 돌이를 귀한 선물을 준다.
413,형도 고향을 가고 누이도 했다.,형도 고향을 가고 누이도 그리했다.
414,자기의 자랑은 철수가 우등생이라는 것이다.,철수의 자랑은 자기가 우등생이라는 것이다.
415,마음은 오로지함은 어느 곳에서나 필요하다.,마음을 오로지함은 어느 곳에서나 필요하다.
416,우리는 안 잠을 잤다.,우리는 잠을 안 잤다.
417,옷이 거의 벗긴다.,옷이 찢기듯 벗긴다.
418,저 방에 그가 울고 있다.,저 방에서 그가 울고 있다.
419,"날씨가 춥되, 너는 가느냐?","날씨가 춥되, 나는 간다."
420,누이가 부산을 바란다.,누이가 부산을 바란다.
421,그는 내일 일하고 있다.,그는 지금 일하고 있다.
422,그는 밥을 안 먹고서 학교에 갔다.,그는 밥을 먹고서 학교에 갔다.
423,날씨가 흐리더니까 비가 온다.,날씨가 흐리더니 비가 온다.
424,내가 자기를 부끄러워한다.,내가 자신을 부끄러워한다.
425,"순이는 방에 있고, 영이가 부엌에 있다.","순이는 방에 있고, 영이는 부엌에 있다."
426,오늘은 어떠신 분이 오시느냐?,오늘은 어떤 분이 오시느냐?
427,철수는 영이가 학교에 가기를 전했다.,철수는 영이가 학교에 감을 전했다.
428,작업장 안이 모터로 윙윙거린다.,작업장 안이 모터 소리로 윙윙거린다.
429,철이가 날쌘 것은 용감하고이다.,철이가 날쌘 것은 용감하고이다.
430,그는 달이 있어서 달 구경을 나가라.,그는 달이 있어서 달 구경을 나간다.
431,방 안이 어두웠으니까 답답할 것이다.,방 안이 어두웠으니까 답답했었다.
432,손님이 오자 그는 읽고 있었는 책을 덮었다.,손님이 오자 그는 읽은 책을 덮었다.
433,"배가 고팠으니까, 그는 밥을 먹는다.","배가 고팠으니까, 그는 밥을 먹었다."
434,내가 철수를 만났는데 자기가 그러데?,내가 철수를 만났는데 철수가 그러데?
435,아무도 안 왔지 않느냐고 물었다.,아무도 안 왔지 않느냐고 말했다.
436,저 못된 놈과 같으니.,저 못된 놈과 같으니.
437,돌이가 산에 다닌다.,돌이가 산에 다닌다.
438,게 어느 사람이냐?,게 어느 사람이냐?
439,철수가 일을 꼼꼼히는 안 한다.,철수가 일을 꼼꼼히는 한다.
440,영수가 기차에 타고 부산에 갔다.,영수가 기차에 탔다.
441,어머니가 딸에게 한복을 입게 가르쳐 주었다.,어머니가 딸에게 한복을 입도록 가르쳐 주었다.
442,남자란 용감하다.,남자는 용감하다.
443,알기가 힘이다.,앎이 힘이다.
444,그가 집에 갔을까 보지 않다.,그가 집에 갔을까 싶지 않다.
445,우리들은 밥을 먹으며도 이야기를 나누었다.,우리들은 밥을 먹고도 이야기를 나누었다.
446,그는 영희가 최고다.,나는 영희가 최고다.
447,차가 정말 달린다.,차가 정말 빠르게 달린다.
448,그 문제를 해결하기가 현실적으로 곤란하다.,그 문제를 해결하기가 현실적으로 곤란하다.
449,박 선생은 그 사실을 논리적으로 아주 설명했다.,박 선생은 그 사실을 논리적으로 설명했다.
450,돌이가 산을 사냥을 다닌다.,돌이가 노루를 사냥을 다닌다.
451,"더 이상 말을 안 듣거든, 발포하겠다.",더 이상 말을 안 들으면 발포하겠다.
452,마음 놓고 그림에 열중할 수 있는 마음의 여유를 버리고 싶지 못하다.,마음 놓고 그림에 열중할 수 있는 마음의 여유를 버리고 싶지 않다.
453,내가 남의 글을 훔쳐 읽더라.,네가 남의 글을 훔쳐 읽더라.
454,철수는 현숙이 그 영화를 보았다고 중대시한다.,철수는 현숙이 그 영화를 보았음을 중대시한다.
455,돌이는 안 민속을 연구를 했다.,돌이는 민속을 안 연구를 했다.
456,너는 마당에 있는 풀을 빼라.,너는 마당에 있는 풀을 뽑아라.
457,어르신께서도 여기 좀 앉아요.,당신도 여기 좀 앉아요.
458,눈이 많이 내리는군. 저 때문에 교통 사정이 좋지 않겠는걸.,눈이 많이 내리는군. 저 때문에 교통 사정이 좋지 않겠는걸.
459,죄수가 탈주했다고 사실을 검찰은 밝혔다.,죄수가 탈주했다고 하는 사실을 검찰은 밝혔다.
460,날씨는 나빠서 우리는 하루를 더 묵었다.,날씨가 나빠서 우리는 하루를 더 묵었다.
461,영이가 순이나 올 것이다.,영이가 순이나 올 것이다.
462,명이가 노래하며 춤춘다.,명이가 노래하며 춤춘다.
463,돌이는 민속을 연구 줄곧 했다.,돌이는 민속을 연구를 줄곧 했다.
464,종로에 만나자.,종로에서 만나자.
465,그가 당신을 만났다고 하는 사실이 있나요?,그가 당신을 만난 사실이 있나요?
466,영이가 학교에 가겠고 있다.,영이가 학교에 가고 있겠다.
467,순이가 손이 예쁘덥니다.,순이가 손이 예쁘겠습니다.
468,"저 애는 옷이 많은데, 나는 별난 옷이 없다.","저 애는 옷이 많은데, 나는 별난 옷이 없다."
469,그들은 늙게 친하게 지냈다.,그들은 늙도록 친하게 지냈다.
470,집에 있었겠어?,집에 있었겠지?
471,"그가 공부를 안 했던들, 거지가 되었을 것이다.","그가 공부를 안 했더라면, 거지가 되었을 것이다."
472,혹시나 철수니?,혹시 철수니?
473,영희에게는 헛된 희망이 부풀었다.,영희의 가슴은 헛된 희망으로 부풀었다.
474,그녀의 얼굴을 보지 못하려고 눈을 감았다.,그녀의 얼굴을 보지 않으려고 눈을 감았다.
475,삼숙이가 이숙이에게 합격을 알려갔나 봐.,삼숙이가 이숙이에게 합격을 알렸나 봐.
476,철수가 어머니가 보고 싶으면 이모를 찾아간다.,철수가 어머니가 보고 싶으면 이모를 찾아간다.
477,어제 늦게까지 공부하지 않느라고 잠을 못 잤다.,어제 늦게까지 공부하느라고 잠을 못 잤다.
478,숙희가 집에 갔나가 보다.,숙희가 집에 갔나가 보다.
479,철수가 의장으로 되는 것이 유리하였다. 그리고 영희가 불리하였다.,철수는 의장으로 되는 것이 유리하였다. 그리고 영희는 불리하였다.
480,나는 네가 집에 갔으면 싶으냐?,너는 네가 집에 갔으면 싶으냐?
481,순이도 돌이를 선물을 주고 명이도 그것을 준다.,순이도 돌이를 선물을 주고 명이도 돌이를 선물을 준다.
482,영수 자기가 떠나 버렸다.,영수 자신이 떠나 버렸다.
483,선생님께서 그 책을 꺼내시어서 주었다.,선생님께서 그 책을 꺼내서 주셨다.
484,선생님이 학생들에게 그림을 그린다.,선생님이 학생들에게 그림을 그리게 한다.
485,나는 운동장에 뛰었다.,나는 운동장에서 뛰었다.
486,너가 가니까 나도 갈 것 같다.,너가 가니 나도 갈 것 같다.
487,그는 서울에 일한다.,그는 서울에 일한다.
488,엄마도 막내를 글을 가르치고 아빠도 막내를 글을 가르친다.,엄마도 막내를 글을 가르치고 아빠도 막내를 글을 가르친다.
489,철수가 노래를 시작되었다.,철수가 노래를 시작하였다.
490,돌이는 민속을 연구 열심히 했다.,돌이는 민속 연구를 열심히 했다.
491,검정이 소가 팔렸다.,검정소가 팔렸다.
492,철수가 영자를 영자가 천사라고 생각한다.,철수가 영자를 천사라고 생각한다.
493,철수네 집은 우리 집은 양옥이고 한옥이다.,"우리 집은 양옥이고, 철수네 집은 한옥이다."
